Day,Room,Teacher(ID)
5,101,NJ(13)
5,102,HL(58)
5,103,JJ(38)
5,104,BD(9)
5,105,EH(55)
5,106,GT(46)
5,107,CL(34)
5,108,LR(62)
5,109,PB(40)
5,110,ST(20)
5,201,HD(25)
5,202,RJ(67)
5,203,CG(10)
5,204,DG(35)
5,205,TB(69)
5,206,TB(32)
5,207,CR(43)
5,208,SB(15)
5,209,DD(37)
5,210,TH(70)
5,301,JR(60)
5,302,OB(17)
5,303,ET(1)
