Day,Room,Teacher(ID)
6,101,RGB(68)
6,102,AKD(16)
6,103,CSB(19)
6,104,SA(80)
6,105,SC(95)
6,106,RC(67)
6,107,SS(78)
6,108,GM(30)
6,109,ND(51)
6,110,MG(45)
6,201,SG(87)
6,202,KS(40)
6,203,MM(49)
6,204,TR(103)
6,205,GH(31)
6,206,SG(83)
6,207,ADS(17)
6,208,MC(47)
6,209,PA(60)
6,210,SA(96)
6,301,AR(12)
6,302,AD(10)
6,303,AC(9)
